D
,1,2,3
mean,6.880777518669738e-05,0.000190674977831922,0.0005068307510554516
median,6.813198397558653e-05,0.0001779738896946851,0.0004262715487060994
std,2.6933801032479647e-05,5.8171754834751205e-05,0.00019226038515826371
iqr,4.325912720210792e-05,8.343118828123725e-05,0.0001326768055550976
